minute,X,Y,h_a,situation,shotType,lastAction,xG,result,Goal
6,0.915,0.430999985,h,OpenPlay,RightFoot,Cross,0.096274398,SavedShot,0
17,0.815,0.73,h,OpenPlay,RightFoot,Pass,0.0240491,BlockedShot,0
51,0.849000015,0.66,h,OpenPlay,LeftFoot,Pass,0.061656401,SavedShot,0
35,0.866999969,0.675,a,OpenPlay,RightFoot,Pass,0.0442116,SavedShot,0
50,0.99,0.397000008,a,OpenPlay,RightFoot,Cross,0.045412,SavedShot,0
2,0.800999985,0.472999992,h,OpenPlay,RightFoot,Pass,0.047921099,SavedShot,0
44,0.868000031,0.693000031,h,OpenPlay,RightFoot,Pass,0.043973502,MissedShots,0
67,0.853000031,0.55,h,OpenPlay,LeftFoot,Pass,0.0928213,MissedShots,0
3,0.955,0.537999992,a,SetPiece,Head,Pass,0.497316003,MissedShots,0
45,0.964000015,0.494000015,a,OpenPlay,Head,Cross,0.650753021,MissedShots,0
87,0.936999969,0.643000031,a,OpenPlay,RightFoot,Pass,0.332157999,SavedShot,0
3,0.855,0.716999969,h,OpenPlay,RightFoot,Pass,0.032048602,BlockedShot,0
10,0.885,0.5,h,Penalty,RightFoot,Standard,0.743278027,Goal,1
49,0.853000031,0.577999992,h,OpenPlay,RightFoot,Pass,0.100785002,SavedShot,0
57,0.845999985,0.487000008,h,OpenPlay,RightFoot,Pass,0.118612997,SavedShot,0
15,0.905999985,0.639000015,a,OpenPlay,RightFoot,Pass,0.098888502,Goal,1
42,0.913000031,0.273999996,a,OpenPlay,RightFoot,Pass,0.065109901,SavedShot,0
68,0.845,0.624000015,a,OpenPlay,LeftFoot,Cross,0.043713201,MissedShots,0
6,0.891999969,0.477999992,h,OpenPlay,LeftFoot,Cross,0.094472803,SavedShot,0
14,0.915999985,0.68,h,OpenPlay,LeftFoot,Chipped,0.057142001,MissedShots,0
28,0.903000031,0.402000008,h,OpenPlay,RightFoot,Pass,0.366946012,Goal,1
76,0.885,0.5,h,Penalty,RightFoot,Standard,0.743149996,Goal,1
17,0.936999969,0.293999996,a,OpenPlay,RightFoot,Pass,0.055129599,MissedShots,0
50,0.914000015,0.590999985,a,FromCorner,Head,Cross,0.050776701,SavedShot,0
90,0.866999969,0.475999985,h,OpenPlay,RightFoot,Chipped,0.080513999,MissedShots,0
32,0.915999985,0.570999985,a,FromCorner,Head,Cross,0.069356903,MissedShots,0
49,0.916999969,0.499000015,a,FromCorner,Head,Aerial,0.049921699,MissedShots,0
23,0.735,0.507000008,h,DirectFreekick,RightFoot,Standard,0.062334001,BlockedShot,0
73,0.895,0.474000015,h,SetPiece,Head,Cross,0.090768598,SavedShot,0
63,0.729000015,0.614000015,a,DirectFreekick,RightFoot,Standard,0.0517333,MissedShots,0
77,0.9,0.479000015,a,FromCorner,Head,Cross,0.0721751,MissedShots,0
82,0.885999985,0.54,a,SetPiece,Head,Cross,0.068646297,MissedShots,0
23,0.885,0.5,h,Penalty,RightFoot,Standard,0.743149996,Goal,1
2,0.88,0.475999985,h,FromCorner,Head,Aerial,0.0156199,MissedShots,0
13,0.868000031,0.507000008,h,FromCorner,Head,Cross,0.0454068,SavedShot,0
43,0.891999969,0.427000008,h,OpenPlay,RightFoot,Pass,0.408392996,SavedShot,0
70,0.745,0.678000031,h,OpenPlay,RightFoot,Pass,0.016588099,MissedShots,0
91,0.973000031,0.517999992,h,FromCorner,LeftFoot,Rebound,0.817076981,MissedShots,0
19,0.885,0.5,a,Penalty,RightFoot,Standard,0.743278027,Goal,1
51,0.909000015,0.527999992,a,SetPiece,Head,Chipped,0.325423986,Goal,1
23,0.909000015,0.594000015,a,OpenPlay,RightFoot,Cross,0.0757735,MissedShots,0
85,0.931999969,0.559000015,h,OpenPlay,RightFoot,Rebound,0.49427101,SavedShot,0
52,0.898000031,0.475,a,FromCorner,Head,Aerial,0.022461001,BlockedShot,0
6,0.915999985,0.579000015,h,OpenPlay,LeftFoot,Cross,0.084508397,MissedShots,0
10,0.853000031,0.51,h,FromCorner,RightFoot,Pass,0.057701301,MissedShots,0
37,0.975,0.542999992,a,FromCorner,Head,HeadPass,0.500195026,Goal,1
64,0.885,0.5,h,Penalty,RightFoot,Standard,0.743278027,Goal,1
89,0.916999969,0.45,h,OpenPlay,RightFoot,Cross,0.099696599,MissedShots,0
93,0.91,0.449000015,a,OpenPlay,Head,Cross,0.100704998,SavedShot,0
88,0.81,0.527000008,h,DirectFreekick,RightFoot,Standard,0.150978997,BlockedShot,0
37,0.86,0.537000008,a,OpenPlay,Head,Cross,0.023448501,MissedShots,0
85,0.946999969,0.502999992,a,FromCorner,OtherBodyPart,Cross,0.127687007,MissedShots,0
29,0.954000015,0.505,h,OpenPlay,RightFoot,Pass,0.896381974,Goal,1
51,0.874000015,0.464000015,h,FromCorner,Head,Cross,0.0446174,MissedShots,0
49,0.885,0.5,a,Penalty,RightFoot,Standard,0.743278027,Goal,1
55,0.779000015,0.565,h,DirectFreekick,RightFoot,Standard,0.097485602,Goal,1
9,0.973000031,0.502999992,a,SetPiece,Head,Rebound,0.820033014,MissedShots,0
28,0.87,0.524000015,h,FromCorner,Head,Aerial,0.014776,BlockedShot,0
78,0.885,0.5,h,Penalty,RightFoot,Standard,0.743278027,Goal,1
61,0.888000031,0.56,a,FromCorner,Head,Cross,0.0406303,MissedShots,0
72,0.885,0.5,a,Penalty,RightFoot,Standard,0.743278027,Goal,1
8,0.913000031,0.487000008,a,SetPiece,Head,Cross,0.317335993,Goal,1
42,0.714000015,0.500999985,a,OpenPlay,RightFoot,Pass,0.0199038,SavedShot,0
40,0.926999969,0.479000015,h,FromCorner,Head,Cross,0.118835002,MissedShots,0
94,0.889000015,0.602999992,h,SetPiece,Head,Cross,0.0378071,MissedShots,0
31,0.953000031,0.579000015,a,OpenPlay,Head,Cross,0.280281991,MissedShots,0
54,0.689000015,0.452000008,a,OpenPlay,RightFoot,Pass,0.012768,MissedShots,0
15,0.9,0.425,h,FromCorner,Head,Aerial,0.016109301,MissedShots,0
39,0.930999985,0.525,h,OpenPlay,LeftFoot,Pass,0.586363971,Goal,1
63,0.699000015,0.580999985,a,DirectFreekick,RightFoot,Standard,0.040831,MissedShots,0
37,0.775999985,0.382000008,a,OpenPlay,RightFoot,Pass,0.027700201,MissedShots,0
59,0.698000031,0.6,h,OpenPlay,RightFoot,Pass,0.0154529,BlockedShot,0
51,0.738000031,0.68,h,DirectFreekick,RightFoot,Standard,0.047600199,MissedShots,0
15,0.925999985,0.580999985,h,FromCorner,Head,Aerial,0.0245777,MissedShots,0
36,0.756999969,0.385,a,OpenPlay,RightFoot,None,0.0175095,SavedShot,0
0,0.72,0.738000031,h,OpenPlay,RightFoot,Pass,0.0126315,BlockedShot,0
43,0.949000015,0.680999985,h,FromCorner,Head,Cross,0.01253,BlockedShot,0
67,0.750999985,0.575999985,h,DirectFreekick,RightFoot,Standard,0.069754399,MissedShots,0
16,0.715999985,0.542999992,a,OpenPlay,RightFoot,Pass,0.0163208,BlockedShot,0
16,0.969000015,0.562999992,a,OpenPlay,Head,Cross,0.143143997,BlockedShot,0
18,0.846999969,0.330999985,a,FromCorner,RightFoot,None,0.033881899,BlockedShot,0
25,0.714000015,0.681999969,a,OpenPlay,RightFoot,None,0.00936603,SavedShot,0
26,0.706999969,0.439000015,h,OpenPlay,RightFoot,Pass,0.018430199,MissedShots,0
56,0.931999969,0.422999992,h,OpenPlay,RightFoot,Pass,0.49932,Goal,1
68,0.910999985,0.502999992,h,OpenPlay,Head,Cross,0.348080009,Goal,1
73,0.844000015,0.579000015,h,OpenPlay,LeftFoot,BallRecovery,0.087374903,MissedShots,0
38,0.715,0.385,a,OpenPlay,RightFoot,Pass,0.0199885,MissedShots,0
41,0.893000031,0.577000008,a,SetPiece,Head,Aerial,0.0145676,BlockedShot,0
50,0.780999985,0.500999985,a,OpenPlay,RightFoot,TakeOn,0.052687701,BlockedShot,0
53,0.770999985,0.786999969,a,FromCorner,RightFoot,Pass,0.025332401,MissedShots,0
89,0.472000008,0.557000008,a,OpenPlay,RightFoot,None,0.00709788,MissedShots,0
37,0.918000031,0.592999992,h,FromCorner,Head,Chipped,0.043665402,BlockedShot,0
9,0.91,0.579000015,h,FromCorner,Head,Aerial,0.021404,MissedShots,0
16,0.731999969,0.395999985,h,OpenPlay,RightFoot,Pass,0.0178132,MissedShots,0
15,0.859000015,0.455999985,a,FromCorner,Head,None,0.035900299,MissedShots,0
57,0.745,0.637000008,h,OpenPlay,RightFoot,Pass,0.0196674,MissedShots,0
3,0.678000031,0.555,h,OpenPlay,RightFoot,Pass,0.0124881,SavedShot,0
44,0.915,0.555,h,FromCorner,Head,Cross,0.080364697,SavedShot,0
34,0.675999985,0.705,a,OpenPlay,RightFoot,Pass,0.0112592,SavedShot,0
7,0.464000015,0.138999996,a,OpenPlay,RightFoot,Pass,0.0070477,SavedShot,0
9,0.933000031,0.684000015,a,SetPiece,LeftFoot,Aerial,0.021837801,MissedShots,0
12,0.964000015,0.492999992,a,FromCorner,Head,Rebound,0.116231002,MissedShots,0
43,0.975,0.582000008,a,OpenPlay,RightFoot,BallTouch,0.469446987,SavedShot,0
44,0.95,0.497999992,a,OpenPlay,LeftFoot,Pass,0.647695005,Goal,1
53,0.758000031,0.620999985,a,DirectFreekick,RightFoot,Standard,0.0681189,BlockedShot,0
58,0.734000015,0.577000008,h,OpenPlay,RightFoot,Pass,0.022578301,MissedShots,0
11,0.684000015,0.637000008,h,OpenPlay,RightFoot,BallTouch,0.0109201,MissedShots,0
